audio_path_id,clean_text,conversation_id,id,match_ratio,match_transcript,meta.tag,reply_to,speaker,text,timestamp,vectors
sw04325B_3220625_455375.wav,"  I guess, ",4325-0,4325-1,0.6666666666666666,i guess,"[['[ [ I guess, +', 'qy^d']]",4325-0,1632,"[ [ I guess, +",,[]
sw04325B_187182375_19128525.wav,"  Because  after,  I guess after  he,  you know,  gets to a certain age shes going to have to take him to a day care. ",4325-0,4325-53,0.8584905660377359,i guess after he you know gets to a certain age she is going to have to take him to a day care,"[[""[ {C Because } after, + I guess after ] he, {D you know, } gets to a certain age she's going to have to take him to a day care. /"", 'qy^d']]",4325-52,1632,"[ {C Because } after, + I guess after ] he, {D you know, } gets to a certain age she's going to have to take him to a day care. /",,[]
," Uh,  the question was kind of interesting to me because I was just trying to put together a,  uh,  long term financial plan and monthly budget. The only thing I do now is,  uh,  put the data into Quicken. I dont know if you are familiar with that. ",4103-0,4103-0,,,"[['{F Uh, } the question was kind of interesting to me because I was just trying to put together a, {F uh, } long term financial plan and monthly budget.  /', 'sv'], ['The only thing I do now is, {F uh, } put the data into Quicken.  /', 'sd'], [""I don't know if you are familiar with that. /"", 'qy^d']]",,1564,"{F Uh, } the question was kind of interesting to me because I was just trying to put together a, {F uh, } long term financial plan and monthly budget.  /The only thing I do now is, {F uh, } put the data into Quicken.  /I don't know if you are familiar with that. /",,[]
sw04103A_210376125_218911875.wav,"  uh,   well  thats interesting.  Im,   uh,   uh,   actually,   uh,  I  was kind of interested if you found out about the study by,  uh,  reading TELECOM DIGEST  or  was there another? ",4103-0,4103-34,0.7032258064516129,uh um actually uh i was kind of interested if you found out about the study by uh reading telecom digest or was there another,"[[""-- {F uh, } {D well } that's interesting.  /"", '+'], [""[ I'm, + {F uh, } {F uh, } {D actually, } {F uh, } I ] was kind of interested if you found out about the study by, {F uh, } reading TELECOM DIGEST  /"", 'qy^d'], ['{C or } was there another? /', 'qrr']]",4103-33,1564,"-- {F uh, } {D well } that's interesting.  /[ I'm, + {F uh, } {F uh, } {D actually, } {F uh, } I ] was kind of interested if you found out about the study by, {F uh, } reading TELECOM DIGEST  /{C or } was there another? /",,[]
," Um,   well,  I really cant say for certain, truth be known.  Uh,  as it stands,  theres,  theres  many ways and means by which a person can be set up, both,  uh,  in a  civil,   uh,  civil  and criminal case.  I mean,  the,  uh,  documentary, the THIN BLUE LINE pretty much demonstrated that.  You know,  I dont know  for,  if  youre familiar with that or not. ",4321-0,4321-11,,,"[[""{F Um, } {D well, } I really can't say for certain, truth be known.  /"", '^h'], [""{F Uh, } as it stands, [ there's, + there's ] many ways and means by which a person can be set up, both, {F uh, } in a [ ((civil)), + {F uh, } civil ] and criminal case.  /"", 'sv'], ['{E I mean, } the, {F uh, } documentary, the THIN BLUE LINE pretty much demonstrated that.  /', 'sv'], [""{D You know, } I don't know [ for, + if ] you're familiar with that or not. /"", 'qy^d']]",4321-10,1614,"{F Um, } {D well, } I really can't say for certain, truth be known.  /{F Uh, } as it stands, [ there's, + there's ] many ways and means by which a person can be set up, both, {F uh, } in a [ ((civil)), + {F uh, } civil ] and criminal case.  /{E I mean, } the, {F uh, } documentary, the THIN BLUE LINE pretty much demonstrated that.  /{D You know, } I don't know [ for, + if ] you're familiar with that or not. /",,[]
sw04329A_243559875_24488625.wav," Oh,  are you? ",4329-0,4329-78,0.72,oh are you,"[['{F Oh, } are you? /', 'qy^d']]",4329-77,1287,"{F Oh, } are you? /",,[]
sw04356A_53741125_55555.wav," Well,  like what? ",4356-0,4356-6,0.7878787878787878,well like what,"[['{D Well, } like what? /', 'qy^d']]",4356-5,1629,"{D Well, } like what? /",,[]
sw04360B_2147705_2182495.wav," Yo,   so  you  think its,  which group are you saying  is the one trying?  ",4360-0,4360-53,0.7642276422764228,uh which group are you saying is the one trying,"[[""[ Yo-, + {C so } you ] think it's, - /"", 'qy^d'], ['which group are you saying #  is the one trying? # /', 'qw']]",4360-52,1599,"[ Yo-, + {C so } you ] think it's, - /which group are you saying #  is the one trying? # /",,[]
,"Bye talking to someone else. Starts speaking to A  So   were,   uh,  our discussions  about,  uh,  the care of the elderly? ",4619-0,4619-0,,,"[['Bye <<talking to someone else>>.  <<Starts speaking to A>>  /', 't3'], [""{D So } [ we're, + {F uh, } our discussion's ] about, {F uh, } the care of the elderly? /"", 'qy^d']]",,1194,"Bye <<talking to someone else>>.  <<Starts speaking to A>>  /{D So } [ we're, + {F uh, } our discussion's ] about, {F uh, } the care of the elderly? /",,[]
sw04036A_86701125_9079275.wav," Uh.   But  since it was a civil case it really didnt matter,  right?  You just needed a majority? ",4036-0,4036-24,0.8924731182795699,but since it was a civil case it really did not matter right you just needed a majority,"[[""{F Uh. } {C But } since it was a civil case it really didn't matter, {D right? }  /"", 'qy^g'], ['You just needed a majority? /', 'qy^d']]",4036-23,1505,"{F Uh. } {C But } since it was a civil case it really didn't matter, {D right? }  /You just needed a majority? /",,[]
